institution_raw,institution,action_date,action_type
"Bank of America, National Association","Bank of America, National Association",2024-12-23,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2011-05-31,Prohibition/Removal Orders
"Bank Of America, N.T. & S.A.","Bank Of America, N.T. & S.A.",1997-03-02,Prohibition/Removal Orders
"Capital One Bank (USA), National Association","Capital One Bank (USA), National Association",2012-07-25,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Bank Of America, N.T. & S.A.","Bank Of America, N.T. & S.A.",1999-10-07,Prohibition/Removal Orders
"Chase Bank USA, National Association","Chase Bank USA, National Association",2013-09-18,C&D or PC&D Requiring Restitution
"Bank of America, National Association","Bank of America, National Association",2011-04-13,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2013-02-28,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Bank of America, National Association","Bank of America, National Association",2012-02-27,Formal Agreement
U.S. Bank National Association,U.S. Bank National Association,2024-08-26,1829 Prohibition Notification
"Capital One Bank (USA), National Association","Capital One Bank (USA), National Association",2020-08-05,Civil Money Penalty (CMP)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2006-09-25,Prohibition/Removal Orders
"Bank of America, National Association","Bank of America, National Association",2010-12-07,Formal Agreement
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2018-10-11,Prohibition/Removal Orders
First National Bank Of America,First National Bank Of America,2001-08-13,Formal Agreement
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2010-10-04,Prohibition/Removal Orders
U.S. Bank National Association,U.S. Bank National Association,2006-10-18,Civil Money Penalty (CMP)
Citizens National Bank of Albion,Citizens National Bank of Albion,1996-07-19,C&D or PC&D Requiring Restitution
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2006-11-08,Prohibition/Removal Orders
Citizens Commerce National Bank,Citizens Commerce National Bank,2010-03-18,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Texas Citizens Bank, National Association","Texas Citizens Bank, National Association",2019-12-18,Formal Agreement
"Bank Of America, N.A.","Bank Of America, N.A.",1997-09-05,Prohibition/Removal Orders
U.S. Bank National Association,U.S. Bank National Association,2014-09-24,Civil Money Penalty (CMP)
Citizens Commerce National Bank,Citizens Commerce National Bank,2014-01-03,Civil Money Penalty (CMP)
"Citibank, N.A.","Citibank, N.A.",2019-03-19,Civil Money Penalty (CMP)
Citizens Bank National Association,Citizens Bank National Association,1995-05-17,Formal Agreement
The Citizens National Bank of Bluffton,The Citizens National Bank of Bluffton,2000-07-12,Formal Agreement
"Capital One Bank (USA), National Association","Capital One Bank (USA), National Association",2018-10-23,Civil Money Penalty (CMP)
U.S. Bank National Association,U.S. Bank National Association,2011-04-13,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2023-11-08,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2024-05-23,1829 Prohibition Notification
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2011-12-08,Formal Agreement
"Capital One Bank (USA), National Association","Capital One Bank (USA), National Association",2010-02-18,Formal Agreement
"Bank Of America, N.A.","Bank Of America, N.A.",1997-08-25,Prohibition/Removal Orders
"Bank of America, National Association","Bank of America, National Association",2024-12-20,1829 Prohibition Notification
"Citibank, National Association","Citibank, National Association",2012-02-24,Formal Agreement
Citizens National Bank & Trust of Hazard,Citizens National Bank & Trust of Hazard,2003-01-06,Civil Money Penalty (CMP)
Bank Of America Nt & Sa,Bank Of America Nt & Sa,1997-12-05,C&D or PC&D Requiring Restitution
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2025-10-15,1829 Prohibition Notification
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2016-09-29,Civil Money Penalty (CMP)
"Bank Of America, N.A.","Bank Of America, N.A.",1997-09-05,C&D or PC&D Requiring Restitution
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2025-06-12,Prohibition/Removal Orders
Citizens National Bank Of Weatherford,Citizens National Bank Of Weatherford,1991-05-09,Formal Agreement
"Capital One, National Association","Capital One, National Association",2019-08-26,Prohibition/Removal Orders
"Citibank, N.A.","Citibank, N.A.",2024-10-22,Prohibition/Removal Orders
Citizens National Bank of Albion,Citizens National Bank of Albion,2003-12-08,C&D or PC&D Requiring Restitution
"PNC Bank, National Association","PNC Bank, National Association",2024-12-18,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2025-10-22,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
Citizens National Bank Of Hammond,Citizens National Bank Of Hammond,1993-07-23,Prohibition/Removal Orders
"Bank of America, National Association","Bank of America, National Association",2004-11-04,C&D or PC&D Requiring Restitution
U.S. Bank National Association,U.S. Bank National Association,2006-05-09,C&D or PC&D Requiring Restitution
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2025-01-14,Civil Money Penalty (CMP)
"Citibank, National Association","Citibank, National Association",2011-04-13,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2024-04-01,1829 Prohibition Notification
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2010-08-30,Prohibition/Removal Orders
"Citibank, N.A.","Citibank, N.A.",2015-07-20,C&D or PC&D Requiring Restitution
"Bank Of America, N.A.","Bank Of America, N.A.",2000-06-28,Prohibition/Removal Orders
U.S. Bancorp,U.S. Bancorp,2002-02-08,Prohibition/Removal Orders
"Rbs Citizens, National Association","Rbs Citizens, National Association",2015-08-10,Civil Money Penalty (CMP)
Citizens National Bank Of Walnut Ridge,Citizens National Bank Of Walnut Ridge,1989-10-06,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2024-09-16,Prohibition/Removal Orders
"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",1997-09-23,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Citizens Bank, National Association","Citizens Bank, National Association",2023-10-10,1829 Prohibition Notification
"Bank of America, National Association","Bank of America, National Association",2024-05-14,Prohibition/Removal Orders
"Bank of America, National Association","Bank of America, National Association",2011-03-09,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2025-01-14,Civil Money Penalty (CMP)
U.S. Bank National Association,U.S. Bank National Association,2004-05-06,Civil Money Penalty (CMP)
"Bank of America, National Association","Bank of America, National Association",2014-11-11,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2013-09-18,C&D or PC&D Requiring Restitution
"Rbs Citizens, National Association","Rbs Citizens, National Association",2013-04-29,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",1997-07-21,Prohibition/Removal Orders
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2013-01-14,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Bank of America, National Association","Bank of America, National Association",2002-12-03,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2024-03-14,Prohibition/Removal Orders
"Bank Of America, N.T. & S.A.","Bank Of America, N.T. & S.A.",1997-02-07,C&D or PC&D Requiring Restitution
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2009-12-01,Prohibition/Removal Orders
Citizens National Bank Of Hammond,Citizens National Bank Of Hammond,1993-07-23,C&D or PC&D Requiring Restitution
"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",1997-05-17,Prohibition/Removal Orders
"Chase Bank of Texas, National Association","Chase Bank of Texas, National Association",2003-06-02,C&D or PC&D Requiring Restitution
"PNC Bank, National Association","PNC Bank, National Association",2018-10-09,Prohibition/Removal Orders
Citizens First National Bank,Citizens First National Bank,1994-04-04,Civil Money Penalty (CMP)
"Bank Of America, N.T. & S.A.","Bank Of America, N.T. & S.A.",1997-05-22,Prohibition/Removal Orders
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2013-09-18,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2016-05-24,Civil Money Penalty (CMP)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2025-08-08,Prohibition/Removal Orders
"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",2001-08-20,Prohibition/Removal Orders
U.S. Bank National Association,U.S. Bank National Association,2025-01-05,Prohibition/Removal Orders
"Citibank, National Association","Citibank, National Association",2013-02-28,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Bank of America, National Association","Bank of America, National Association",2013-07-31,Prohibition/Removal Orders
Bank Of America National Trust And Savings Associatio,Bank Of America National Trust And Savings Associatio,2000-03-28,Prohibition/Removal Orders
"Bank Of America, N.A.","Bank Of America, N.A.",1997-05-02,Prohibition/Removal Orders
"PNC Bank, National Association","PNC Bank, National Association",2023-11-02,1829 Prohibition Notification
Citizens First National Bank,Citizens First National Bank,1994-04-25,Civil Money Penalty (CMP)
"Bank of America, National Association","Bank of America, National Association",2021-05-24,Prohibition/Removal Orders
U.S. Bank National Association ND,U.S. Bank National Association ND,2013-02-28,C&D or PC&D Requiring Restitution
The Citizens National Bank of Hammond,The Citizens National Bank of Hammond,1993-11-11,C&D or PC&D Requiring Restitution
"First Citizens Bank of Polson, National Association","First Citizens Bank of Polson, National Association",2018-12-13,Civil Money Penalty (CMP)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2023-11-08,Prohibition/Removal Orders
